"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 24 12:32:11 UTC 2025","Mon Nov 24 12:32:11 UTC 2025","725","tests.favorites","test_title","TestTitle","","","Попытка создать избранное место с недопустимыми символами в названии",""
"passed","Mon Nov 24 12:31:39 UTC 2025","Mon Nov 24 12:31:40 UTC 2025","709","tests.favorites","test_lon","TestLon","","","Попытка создать избранное место с недопустимыми символами долготы",""
"passed","Mon Nov 24 12:31:47 UTC 2025","Mon Nov 24 12:31:47 UTC 2025","753","tests.favorites","test_lon","TestLon","","","Проверка валидного диапазона долготы",""
"passed","Mon Nov 24 12:32:05 UTC 2025","Mon Nov 24 12:32:05 UTC 2025","720","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимыми символами в названии",""
"passed","Mon Nov 24 12:32:14 UTC 2025","Mon Nov 24 12:32:14 UTC 2025","718","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимой длиной названия",""
"passed","Mon Nov 24 12:30:54 UTC 2025","Mon Nov 24 12:30:55 UTC 2025","945","tests.favorites","test_color","TestColor","","","Создание избранного с допустимым цветом",""
"passed","Mon Nov 24 12:30:52 UTC 2025","Mon Nov 24 12:30:53 UTC 2025","1272","tests.favorites","test_color","TestColor","","","Создание избранного с допустимым цветом",""
"passed","Mon Nov 24 12:31:06 UTC 2025","Mon Nov 24 12:31:06 UTC 2025","690","tests.favorites","test_color","TestColor","","","Создание избранного места без указания цвета",""
"passed","Mon Nov 24 12:31:40 UTC 2025","Mon Nov 24 12:31:41 UTC 2025","742","tests.favorites","test_lon","TestLon","","","Попытка создать избранное место с недопустимыми символами долготы",""
"passed","Mon Nov 24 12:31:30 UTC 2025","Mon Nov 24 12:31:30 UTC 2025","748","tests.favorites","test_lat","TestLat","","","Проверка недопустимого диапазона широты",""
"passed","Mon Nov 24 12:32:24 UTC 2025","Mon Nov 24 12:32:25 UTC 2025","744","tests.favorites","test_title","TestTitle","","","Попытка создать избранное место без параметра title",""
"passed","Mon Nov 24 12:31:16 UTC 2025","Mon Nov 24 12:31:17 UTC 2025","713","tests.favorites","test_lat","TestLat","","","Попытка создать избранное с недопустимыми символами широты",""
"passed","Mon Nov 24 12:31:18 UTC 2025","Mon Nov 24 12:31:18 UTC 2025","725","tests.favorites","test_lat","TestLat","","","Проверка валидного диапазона широты",""
"passed","Mon Nov 24 12:30:50 UTC 2025","Mon Nov 24 12:30:51 UTC 2025","809","tests.favorites","test_color","TestColor","","","Создание избранного с допустимым цветом",""
"passed","Mon Nov 24 12:31:51 UTC 2025","Mon Nov 24 12:31:52 UTC 2025","740","tests.favorites","test_lon","TestLon","","","Проверка недопустимого диапазона долготы",""
"failed","Mon Nov 24 12:32:09 UTC 2025","Mon Nov 24 12:32:10 UTC 2025","740","tests.favorites","test_title","TestTitle","","","Попытка создать избранное место с недопустимыми символами в названии",""
"passed","Mon Nov 24 12:32:02 UTC 2025","Mon Nov 24 12:32:02 UTC 2025","748","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимыми символами в названии",""
"passed","Mon Nov 24 12:31:13 UTC 2025","Mon Nov 24 12:31:14 UTC 2025","706","tests.favorites","test_lat","TestLat","","","Попытка создать избранное с недопустимыми символами широты",""
"passed","Mon Nov 24 12:32:03 UTC 2025","Mon Nov 24 12:32:04 UTC 2025","742","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимыми символами в названии",""
"passed","Mon Nov 24 12:31:37 UTC 2025","Mon Nov 24 12:31:38 UTC 2025","769","tests.favorites","test_lon","TestLon","","","Попытка создать избранное место с недопустимыми символами долготы",""
"passed","Mon Nov 24 12:31:53 UTC 2025","Mon Nov 24 12:31:53 UTC 2025","711","tests.favorites","test_lon","TestLon","","","Проверка недопустимого диапазона долготы",""
"passed","Mon Nov 24 12:31:34 UTC 2025","Mon Nov 24 12:31:35 UTC 2025","732","tests.favorites","test_lon","TestLon","","","Создание избранного места с допустимой долготой",""
"passed","Mon Nov 24 12:31:07 UTC 2025","Mon Nov 24 12:31:08 UTC 2025","1030","tests.favorites","test_lat","TestLat","","","Создание избранного с допустимой широтой",""
"passed","Mon Nov 24 12:30:57 UTC 2025","Mon Nov 24 12:30:58 UTC 2025","925","tests.favorites","test_color","TestColor","","","Попытка создать избранное с недопустимым цветом",""
"passed","Mon Nov 24 12:31:24 UTC 2025","Mon Nov 24 12:31:24 UTC 2025","705","tests.favorites","test_lat","TestLat","","","Проверка валидного диапазона широты",""
"passed","Mon Nov 24 12:32:17 UTC 2025","Mon Nov 24 12:32:17 UTC 2025","788","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимой длиной названия",""
"failed","Mon Nov 24 12:30:59 UTC 2025","Mon Nov 24 12:31:00 UTC 2025","687","tests.favorites","test_color","TestColor","","","Попытка создать избранное с недопустимым цветом",""
"passed","Mon Nov 24 12:31:12 UTC 2025","Mon Nov 24 12:31:12 UTC 2025","683","tests.favorites","test_lat","TestLat","","","Попытка создать избранное с недопустимыми символами широты",""
"passed","Mon Nov 24 12:30:56 UTC 2025","Mon Nov 24 12:30:57 UTC 2025","944","tests.favorites","test_color","TestColor","","","Создание избранного с допустимым цветом",""
"passed","Mon Nov 24 12:31:48 UTC 2025","Mon Nov 24 12:31:49 UTC 2025","739","tests.favorites","test_lon","TestLon","","","Проверка валидного диапазона долготы",""
"passed","Mon Nov 24 12:31:21 UTC 2025","Mon Nov 24 12:31:21 UTC 2025","700","tests.favorites","test_lat","TestLat","","","Проверка валидного диапазона широты",""
"passed","Mon Nov 24 12:31:15 UTC 2025","Mon Nov 24 12:31:15 UTC 2025","729","tests.favorites","test_lat","TestLat","","","Попытка создать избранное с недопустимыми символами широты",""
"passed","Mon Nov 24 12:31:50 UTC 2025","Mon Nov 24 12:31:50 UTC 2025","735","tests.favorites","test_lon","TestLon","","","Проверка валидного диапазона долготы",""
"failed","Mon Nov 24 12:32:20 UTC 2025","Mon Nov 24 12:32:20 UTC 2025","706","tests.favorites","test_title","TestTitle","","","Попытка создать избранное место с слишком длинным названием",""
"failed","Mon Nov 24 12:32:06 UTC 2025","Mon Nov 24 12:32:07 UTC 2025","738","tests.favorites","test_title","TestTitle","","","Попытка создать избранное место с недопустимыми символами в названии",""
"passed","Mon Nov 24 12:31:22 UTC 2025","Mon Nov 24 12:31:23 UTC 2025","708","tests.favorites","test_lat","TestLat","","","Проверка валидного диапазона широты",""
"passed","Mon Nov 24 12:31:56 UTC 2025","Mon Nov 24 12:31:56 UTC 2025","706","tests.favorites","test_lon","TestLon","","","Проверка недопустимого диапазона долготы",""
"passed","Mon Nov 24 12:31:09 UTC 2025","Mon Nov 24 12:31:10 UTC 2025","749","tests.favorites","test_lat","TestLat","","","Создание избранного с допустимой широтой",""
"passed","Mon Nov 24 12:31:57 UTC 2025","Mon Nov 24 12:31:58 UTC 2025","716","tests.favorites","test_lon","TestLon","","","test_lon_required_missing",""
"passed","Mon Nov 24 12:31:36 UTC 2025","Mon Nov 24 12:31:36 UTC 2025","743","tests.favorites","test_lon","TestLon","","","Попытка создать избранное место с недопустимыми символами долготы",""
"passed","Mon Nov 24 12:31:54 UTC 2025","Mon Nov 24 12:31:55 UTC 2025","724","tests.favorites","test_lon","TestLon","","","Проверка недопустимого диапазона долготы",""
"passed","Mon Nov 24 12:31:19 UTC 2025","Mon Nov 24 12:31:20 UTC 2025","727","tests.favorites","test_lat","TestLat","","","Проверка валидного диапазона широты",""
"passed","Mon Nov 24 12:32:12 UTC 2025","Mon Nov 24 12:32:13 UTC 2025","791","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимой длиной названия",""
"passed","Mon Nov 24 12:31:45 UTC 2025","Mon Nov 24 12:31:46 UTC 2025","727","tests.favorites","test_lon","TestLon","","","Проверка валидного диапазона долготы",""
"failed","Mon Nov 24 12:32:08 UTC 2025","Mon Nov 24 12:32:08 UTC 2025","693","tests.favorites","test_title","TestTitle","","","Попытка создать избранное место с недопустимыми символами в названии",""
"passed","Mon Nov 24 12:32:21 UTC 2025","Mon Nov 24 12:32:22 UTC 2025","714","tests.favorites","test_title","TestTitle","","","Попытка создать избранное место с слишком длинным названием",""
"passed","Mon Nov 24 12:31:27 UTC 2025","Mon Nov 24 12:31:27 UTC 2025","742","tests.favorites","test_lat","TestLat","","","Проверка недопустимого диапазона широты",""
"passed","Mon Nov 24 12:31:04 UTC 2025","Mon Nov 24 12:31:05 UTC 2025","720","tests.favorites","test_color","TestColor","","","Попытка создать избранное с недопустимым цветом",""
"passed","Mon Nov 24 12:31:31 UTC 2025","Mon Nov 24 12:31:32 UTC 2025","800","tests.favorites","test_lat","TestLat","","","Создание избранного места без широты",""
"passed","Mon Nov 24 12:32:15 UTC 2025","Mon Nov 24 12:32:16 UTC 2025","743","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимой длиной названия",""
"passed","Mon Nov 24 12:31:59 UTC 2025","Mon Nov 24 12:31:59 UTC 2025","715","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимыми символами в названии",""
"passed","Mon Nov 24 12:32:00 UTC 2025","Mon Nov 24 12:32:01 UTC 2025","760","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимыми символами в названии",""
"passed","Mon Nov 24 12:31:02 UTC 2025","Mon Nov 24 12:31:03 UTC 2025","839","tests.favorites","test_color","TestColor","","","Попытка создать избранное с недопустимым цветом",""
"passed","Mon Nov 24 12:31:42 UTC 2025","Mon Nov 24 12:31:43 UTC 2025","742","tests.favorites","test_lon","TestLon","","","Попытка создать избранное место с недопустимыми символами долготы",""
"passed","Mon Nov 24 12:31:25 UTC 2025","Mon Nov 24 12:31:26 UTC 2025","709","tests.favorites","test_lat","TestLat","","","Проверка недопустимого диапазона широты",""
"passed","Mon Nov 24 12:31:43 UTC 2025","Mon Nov 24 12:31:44 UTC 2025","803","tests.favorites","test_lon","TestLon","","","Проверка валидного диапазона долготы",""
"passed","Mon Nov 24 12:31:28 UTC 2025","Mon Nov 24 12:31:29 UTC 2025","711","tests.favorites","test_lat","TestLat","","","Проверка недопустимого диапазона широты",""
"passed","Mon Nov 24 12:31:10 UTC 2025","Mon Nov 24 12:31:11 UTC 2025","701","tests.favorites","test_lat","TestLat","","","Попытка создать избранное с недопустимыми символами широты",""
"passed","Mon Nov 24 12:32:23 UTC 2025","Mon Nov 24 12:32:23 UTC 2025","764","tests.favorites","test_title","TestTitle","","","Создание избранного места с обязательным параметром title",""
"passed","Mon Nov 24 12:31:33 UTC 2025","Mon Nov 24 12:31:33 UTC 2025","740","tests.favorites","test_lon","TestLon","","","Создание избранного места с допустимой долготой",""
"passed","Mon Nov 24 12:32:18 UTC 2025","Mon Nov 24 12:32:19 UTC 2025","685","tests.favorites","test_title","TestTitle","","","Создание избранного места с допустимой длиной названия",""
"passed","Mon Nov 24 12:31:01 UTC 2025","Mon Nov 24 12:31:02 UTC 2025","854","tests.favorites","test_color","TestColor","","","Попытка создать избранное с недопустимым цветом",""
